id,from,to,subject,body,url,url_obfuscated,label
54cac939,jmocjqmnavcp@yahoo.com,support@jru.edu,Your JRU Portal Access Details,This is to acknowledge your successful payment. Attached in the system is your electronic receipt for reference.,https://students.jru.edu/login/session/login/confirm,https:[slash][slash]students[dot]jru[dot]edu[slash]login[slash]session[slash]login[slash]confirm,0
f2425463,nnbtl@gmail.com,faculty@jru.edu,Account Suspended: Action Required,Our system flagged your account for review. Login to verify ownership.,https://account-verify.net/login/verify/update/confirm/dashboard/index,https:[slash][slash]account-verify[dot]net[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
d7973167,lkzdci@jru.edu,student@jru.edu,Payment Confirmation Failed,Your payment could not be processed. Click the link to update your billing info.,https://support-helpdesk.co/login/verify/update/confirm/dashboard/index,https:[slash][slash]support-helpdesk[dot]co[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
7336be5f,aulcvlt@gmail.com,admin@jru.edu,Meeting Schedule Confirmation,Thank you for attending today’s meeting. Please review the minutes attached.,https://amazon.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]amazon[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
c7e50e0c,pnmvuiejltzr@outlook.com,admin@jru.edu,Account Suspended: Action Required,Your mailbox has exceeded the storage limit. Log in through the link below to increase your storage and avoid losing important messages.,https://notify-security-center.net/login/update/update/session,https:[slash][slash]notify-security-center[dot]net[slash]login[slash]update[slash]update[slash]session,1
e815aa78,cbynqqee@outlook.com,support@jru.edu,Classroom Schedule Adjustment Notice,This is to acknowledge your successful payment. Attached in the system is your electronic receipt for reference.,https://gmail.com/update/confirm,https:[slash][slash]gmail[dot]com[slash]update[slash]confirm,0
3a0e70d7,sacwyptv@jru.edu,support@jru.edu,SECURITY ALERT: PASSWORD RESET NEEDED!!!!,"Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now. Our system shows an error with your billing profile. To avoid service
interruption, update your payment details now. Our system shows an error with
your billing profile. To avoid service interruption, update your payment details
now.",https://verify-portal-access.net/session/confirm/login/verify/login?token=1f54a7f7d3079ff55067bd9f09b63a8ad39345196b2d82da204e217e9891ec280c32ab3ffe3e8bb4,https:[slash][slash]verify-portal-access[dot]net[slash]session[slash]confirm[slash]login[slash]verify[slash]login?token=1f54a7f7d3079ff55067bd9f09b63a8ad39345196b2d82da204e217e9891ec280c32ab3ffe3e8bb4,1
b30b3ac8,xugicbejy@jru.edu,student@jru.edu,Final Warning: Account Will Be Closed,We have detected suspicious login attempts. Confirm your identity immediately by accessing the link below.,https://verify-portal-access.net/update/session/confirm/confirm,https:[slash][slash]verify-portal-access[dot]net[slash]update[slash]session[slash]confirm[slash]confirm,1
cf7db8e3,jwllvqphp@yahoo.com,faculty@jru.edu,Security Alert: Password Reset Needed,Your payment could not be processed. Click the link to update your billing info.,https://support-helpdesk.co/login/verify/update/confirm/dashboard/index,https:[slash][slash]support-helpdesk[dot]co[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
da6a1e5c,jemuelbyerpl@billing-update.info,student@jru.edu,ACCOUNT SUSPENDED: ACTION REQUIRED!!!!,"Your account will be permanently disabled if you do not verify your information
within 24 hours. Click the secure link to proceed. Your account will be
permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed.",https://verify-portal-access.net/login/login/verify/verify/confirm?token=b4bc0a1be41045da7a3affc5aaf9b4efad37b7c448cd22893c75086ef6da40d40addc10f6ee8cb02,https:[slash][slash]verify-portal-access[dot]net[slash]login[slash]login[slash]verify[slash]verify[slash]confirm?token=b4bc0a1be41045da7a3affc5aaf9b4efad37b7c448cd22893c75086ef6da40d40addc10f6ee8cb02,1
2c0bb359,myaesmgfvf@google.com,admin@jru.edu,Unusual Login Attempt Detected,"Our system shows an error with your billing profile. To avoid service interruption, update your payment details now.",https://login-security-check.net/login/login/login,https:[slash][slash]login-security-check[dot]net[slash]login[slash]login[slash]login,1
273f48ec,vhlgrez@yahoo.com,student@jru.edu,Payment Confirmation Failed,Please reset your password now to secure your data.,https://secure-billings.io/login/verify/update/confirm/dashboard/index,https:[slash][slash]secure-billings[dot]io[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
0d6295f1,opkbrjk@gmail.com,support@jru.edu,Urgent: Update Billing Information,We have detected suspicious login attempts. Confirm your identity immediately by accessing the link below.,https://billing-update-alert.net/update/update/verify/verify,https:[slash][slash]billing-update-alert[dot]net[slash]update[slash]update[slash]verify[slash]verify,1
7f26cdee,phyewzvak@jru.edu,admin@jru.edu,Verify your account immediately,Please reset your password now to secure your data.,https://support-helpdesk.co/login/verify/update/confirm/dashboard/index,https:[slash][slash]support-helpdesk[dot]co[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
655fb8d3,ixalnss@outlook.com,student@jru.edu,URGENT: UPDATE BILLING INFORMATION!!!!,Click the link now to proceed.,https://verify-portal-access.net/session/session/update/update/session?token=510b6b8585866eb1366a988eb4acf2db8f007d8be61b7db1437f2304dbcceb4065b841a0fc16611d,https:[slash][slash]verify-portal-access[dot]net[slash]session[slash]session[slash]update[slash]update[slash]session?token=510b6b8585866eb1366a988eb4acf2db8f007d8be61b7db1437f2304dbcceb4065b841a0fc16611d,1
d9ee7476,kiymytbw@yahoo.com,admin@jru.edu,Security Alert: Password Reset Needed,We have detected suspicious login attempts. Confirm your identity immediately.,https://account-verify.net/login/verify/update/confirm/dashboard/index,https:[slash][slash]account-verify[dot]net[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
15930b9d,ykksdicjsw@jru.edu,admin@jru.edu,Verify your account immediately,We have detected suspicious login attempts. Confirm your identity immediately.,https://support-helpdesk.co/login/verify/update/confirm/dashboard/index,https:[slash][slash]support-helpdesk[dot]co[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
daf8ccee,mthtsnedhxx@jru.edu,faculty@jru.edu,Remittance Report from Finance Office,Good day! This is an official message from Jose Rizal University regarding your recent transactions and academic updates.,https://jru.edu/update/login/session/confirm,https:[slash][slash]jru[dot]edu[slash]update[slash]login[slash]session[slash]confirm,0
04ef24ae,bsqupp@yahoo.com,admin@jru.edu,Account Suspended: Action Required,"Dear user, we noticed unusual activity. Please verify your account at the link below to avoid suspension.",https://account-verify.net/login/verify/update/confirm/dashboard/index,https:[slash][slash]account-verify[dot]net[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
4ad5f982,rbcxgw@billing-update.info,support@jru.edu,[AUTO-GENERATED NOTICE] Account Suspended: Action Required,"Your account will be permanently disabled if you do not verify your information
within 24 hours. Click the secure link to proceed. Your account will be
permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed. Your account will be permanently disabled if
you do not verify your information within 24 hours. Click the secure link to
proceed. Your account will be permanently disabled if you do not verify your
information within 24 hours. Click the secure link to proceed. Your account will
be permanently disabled if you do not verify your information within 24 hours.
Click the secure link to proceed.",https://account-verify.net/confirm/update/confirm/verify/session?token=e513ff39b0ccd6ec8074320187df63ab8248d9e4ff6cae523edf9e0342accb7f11a3189def8b37f5,https:[slash][slash]account-verify[dot]net[slash]confirm[slash]update[slash]confirm[slash]verify[slash]session?token=e513ff39b0ccd6ec8074320187df63ab8248d9e4ff6cae523edf9e0342accb7f11a3189def8b37f5,1
a58fbf2d,ahbjcnanhutk@jru.edu,student@jru.edu,Account Suspended: Action Required,We have detected suspicious login attempts. Confirm your identity immediately by accessing the link below.,https://login-security-check.net/verify/verify,https:[slash][slash]login-security-check[dot]net[slash]verify[slash]verify,1
71b5d8b3,dbsigibvnhb@yahoo.com,student@jru.edu,FINAL WARNING: ACCOUNT WILL BE CLOSED!!!!,Click the link now to proceed.,https://support-jru-secure.com/update/verify/login/confirm/login?token=f902cad0e2cc86994df87985b733280b73270e9b6b1ab0a1f7ae05b2a4af5b7aa6c08bfd21ac5583,https:[slash][slash]support-jru-secure[dot]com[slash]update[slash]verify[slash]login[slash]confirm[slash]login?token=f902cad0e2cc86994df87985b733280b73270e9b6b1ab0a1f7ae05b2a4af5b7aa6c08bfd21ac5583,1
755da612,ayzznu@students.jru.edu,faculty@jru.edu,Your JRU Portal Access Details,Magandang araw! Pakicheck ang link para sa iyong enrollment details.,https://facebook.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]facebook[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
39124761,nojehfp@outlook.com,faculty@jru.edu,Urgent: Update Billing Information,We have detected suspicious login attempts. Confirm your identity immediately.,https://secure-billings.io/login/verify/update/confirm/dashboard/index,https:[slash][slash]secure-billings[dot]io[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
d62df30b,kzfsq@students.jru.edu,support@jru.edu,Your JRU Portal Access Details,Your registration is now confirmed. You can access your portal anytime.,https://jru.edu/login/verify/update/confirm/dashboard/index,https:[slash][slash]jru[dot]edu[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
12937647,vqluzkxahnio@gmail.com,support@jru.edu,Invoice and Payment Received,Please be informed that your class schedule has been updated. Kindly check the official JRU portal for the latest details.,https://gmail.com/login/session/confirm/session,https:[slash][slash]gmail[dot]com[slash]login[slash]session[slash]confirm[slash]session,0
065dd96a,dafvaaxp@jru.edu,faculty@jru.edu,Meeting Schedule Confirmation,Good day! This is your official receipt for the payment received from JRU.,https://amazon.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]amazon[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
120db3d5,nuehehwqd@gmail.com,admin@jru.edu,Verify your account immediately,random text error 404,https://support-helpdesk.co/login/verify/update/confirm/dashboard/index,https:[slash][slash]support-helpdesk[dot]co[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
eb39416e,dgpoccimaz@yahoo.com,student@jru.edu,Welcome to Jose Rizal University,Please see the attached course schedule and classroom assignment.,https://google.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]google[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
e96cda69,gpzolibltg@notify-center.co,faculty@jru.edu,Your mailbox storage is full,Your account will be permanently disabled if you do not verify your information within 24 hours. Click the secure link to proceed.,https://login-security-check.net/update/session/login/confirm,https:[slash][slash]login-security-check[dot]net[slash]update[slash]session[slash]login[slash]confirm,1
5dc1c510,wayysexea@billing-update.info,faculty@jru.edu,Your mailbox storage is full,We have detected suspicious login attempts. Confirm your identity immediately by accessing the link below.,https://billing-update-alert.net/login/verify,https:[slash][slash]billing-update-alert[dot]net[slash]login[slash]verify,1
d8f1b376,zgqsehyc@yahoo.com,support@jru.edu,Your JRU Portal Access Details,Thank you for attending today’s meeting. Please review the minutes attached.,https://microsoft.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]microsoft[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
8642356a,ihwnvk@jru.edu,student@jru.edu,Urgent: Update Billing Information,We have detected suspicious login attempts. Confirm your identity immediately by accessing the link below.,https://secure-jru-login.com/session/update/verify,https:[slash][slash]secure-jru-login[dot]com[slash]session[slash]update[slash]verify,1
076935e5,tsjfduhedki@gmail.com,admin@jru.edu,Your JRU Portal Access Details,Good day! This is an official message from Jose Rizal University regarding your recent transactions and academic updates.,https://microsoft.com/confirm/confirm/login,https:[slash][slash]microsoft[dot]com[slash]confirm[slash]confirm[slash]login,0
087f371d,fzgpydq@jru.edu,faculty@jru.edu,Payment Confirmation Failed,"Dear user, we noticed unusual activity. Please verify your account at the link below to avoid suspension.",https://bankupdate.biz/login/verify/update/confirm/dashboard/index,https:[slash][slash]bankupdate[dot]biz[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
0d7911b1,bzcvke@notify-center.co,student@jru.edu,Urgent: Update Billing Information,Your account will be permanently disabled if you do not verify your information within 24 hours. Click the secure link to proceed.,https://account-verify.net/session/session,https:[slash][slash]account-verify[dot]net[slash]session[slash]session,1
fc667f67,jysdicsw@yahoo.com,support@jru.edu,Welcome to Jose Rizal University,Please be informed that your class schedule has been updated. Kindly check the official JRU portal for the latest details.,https://yahoo.com/session/confirm/login,https:[slash][slash]yahoo[dot]com[slash]session[slash]confirm[slash]login,0
09db9e42,rsvgcjixyd@google.com,student@jru.edu,Remittance Report from Finance Office,Good day! This is an official message from Jose Rizal University regarding your recent transactions and academic updates.,https://jru.edu/confirm/confirm,https:[slash][slash]jru[dot]edu[slash]confirm[slash]confirm,0
5bc7469e,gropxzocro@students.jru.edu,faculty@jru.edu,Your JRU Portal Access Details,We would like to remind you about your upcoming consultation and scheduled academic advising session with your program head.,https://google.com/verify/confirm/update/session,https:[slash][slash]google[dot]com[slash]verify[slash]confirm[slash]update[slash]session,0
737f5774,kodpakm@students.jru.edu,admin@jru.edu,YOUR JRU PORTAL ACCESS DETAILS!!!!,"We would like to remind you about your upcoming consultation and scheduled
academic advising session with your program head. We would like to remind you
about your upcoming consultation and scheduled academic advising session with
your program head. We would like to remind you about your upcoming consultation
and scheduled academic advising session with your program head. We would like to
remind you about your upcoming consultation and scheduled academic advising
session with your program head. We would like to remind you about your upcoming
consultation and scheduled academic advising session with your program head. We
would like to remind you about your upcoming consultation and scheduled academic
advising session with your program head. We would like to remind you about your
upcoming consultation and scheduled academic advising session with your program
head. We would like to remind you about your upcoming consultation and scheduled
academic advising session with your program head. We would like to remind you
about your upcoming consultation and scheduled academic advising session with
your program head. We would like to remind you about your upcoming consultation
and scheduled academic advising session with your program head. We would like to
remind you about your upcoming consultation and scheduled academic advising
session with your program head. We would like to remind you about your upcoming
consultation and scheduled academic advising session with your program head. We
would like to remind you about your upcoming consultation and scheduled academic
advising session with your program head. We would like to remind you about your
upcoming consultation and scheduled academic advising session with your program
head. We would like to remind you about your upcoming consultation and scheduled
academic advising session with your program head. We would like to remind you
about your upcoming consultation and scheduled academic advising session with
your program head. We would like to remind you about your upcoming consultation
and scheduled academic advising session with your program head. We would like to
remind you about your upcoming consultation and scheduled academic advising
session with your program head. We would like to remind you about your upcoming
consultation and scheduled academic advising session with your program head.",https://outlook.com/verify/verify/update/update/confirm?token=21de27f1eabc7cd56cc786444d72f89536706fa0a0aac7889e5afa57008be1b2d6d1ef05fbb11c19,https:[slash][slash]outlook[dot]com[slash]verify[slash]verify[slash]update[slash]update[slash]confirm?token=21de27f1eabc7cd56cc786444d72f89536706fa0a0aac7889e5afa57008be1b2d6d1ef05fbb11c19,0
e4bd242c,xgntwjax@outlook.com,admin@jru.edu,Weekly Academic Update,Please be informed that your class schedule has been updated. Kindly check the official JRU portal for the latest details.,https://students.jru.edu/update/confirm/confirm/verify,https:[slash][slash]students[dot]jru[dot]edu[slash]update[slash]confirm[slash]confirm[slash]verify,0
c27dc861,kheefswu@jru.edu,student@jru.edu,Security Alert: Password Reset Needed,Your payment could not be processed. Click the link to update your billing info.,https://jru-login.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]jru-login[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
e3c7b612,ialkpk@outlook.com,admin@jru.edu,Remittance Report from Finance Office,This is to acknowledge your successful payment. Attached in the system is your electronic receipt for reference.,https://microsoft.com/update/verify/verify/update,https:[slash][slash]microsoft[dot]com[slash]update[slash]verify[slash]verify[slash]update,0
04d56f20,csmmyd@gmail.com,student@jru.edu,Your JRU Portal Access Details,Good day! This is your official receipt for the payment received from JRU.,https://microsoft.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]microsoft[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
da5ad46d,ethuhtjz@google.com,faculty@jru.edu,Invoice and Payment Received,We would like to remind you about your upcoming consultation and scheduled academic advising session with your program head.,https://google.com/update/session/update/update,https:[slash][slash]google[dot]com[slash]update[slash]session[slash]update[slash]update,0
c54e878b,uuecll@jru.edu,admin@jru.edu,Account Suspended: Action Required,"Dear user, we noticed unusual activity. Please verify your account at the link below to avoid suspension.",https://support-helpdesk.co/login/verify/update/confirm/dashboard/index,https:[slash][slash]support-helpdesk[dot]co[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,1
6b6c69cb,jbcrodzi@jru.edu,admin@jru.edu,[AUTO-GENERATED NOTICE] Classroom Schedule Adjustment Notice,Click the link now to proceed.,https://students.jru.edu/confirm/update/confirm/login/confirm?token=691ab1fcad39ebfd943fa8158f2dbe70af7413eece5720517b3ef307dab8c667c21b88062a0f6d67,https:[slash][slash]students[dot]jru[dot]edu[slash]confirm[slash]update[slash]confirm[slash]login[slash]confirm?token=691ab1fcad39ebfd943fa8158f2dbe70af7413eece5720517b3ef307dab8c667c21b88062a0f6d67,0
64e8f3fb,ecuxksg@jru.edu,student@jru.edu,Verify your account immediately,"Our system shows an error with your billing profile. To avoid service interruption, update your payment details now.",https://login-security-check.net/verify/login/update/verify,https:[slash][slash]login-security-check[dot]net[slash]verify[slash]login[slash]update[slash]verify,1
9ee55d6b,ppsobn@gmail.com,admin@jru.edu,Your JRU Portal Access Details,random text error 404,https://amazon.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]amazon[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
69504a79,dsinadxo@gmail.com,admin@jru.edu,Weekly Academic Update,Your account has been successfully updated. No further action is required.,https://facebook.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]facebook[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
4c78da2e,rcgckz@students.jru.edu,admin@jru.edu,Your JRU Portal Access Details,Your registration is now confirmed. You can access your portal anytime.,https://microsoft.com/login/verify/update/confirm/dashboard/index,https:[slash][slash]microsoft[dot]com[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
3ef985c6,ouorwmgvcrd@yahoo.com,faculty@jru.edu,Account Suspended: Action Required,Your account will be permanently disabled if you do not verify your information within 24 hours. Click the secure link to proceed.,https://verify-portal-access.net/session/confirm/login/login,https:[slash][slash]verify-portal-access[dot]net[slash]session[slash]confirm[slash]login[slash]login,1
7cf72245,oyxoh@outlook.com,faculty@jru.edu,Invoice and Payment Received,Please see the attached course schedule and classroom assignment.,https://jru.edu/login/verify/update/confirm/dashboard/index,https:[slash][slash]jru[dot]edu[slash]login[slash]verify[slash]update[slash]confirm[slash]dashboard[slash]index,0
c362c268,niybjehllhhk@jru.edu,admin@jru.edu,[AUTO-GENERATED NOTICE] Your mailbox storage is full,"Your mailbox has exceeded the storage limit. Log in through the link below to
increase your storage and avoid losing important messages. Your mailbox has
exceeded the storage limit. Log in through the link below to increase your
storage and avoid losing important messages. Your mailbox has exceeded the
storage limit. Log in through the link below to increase your storage and avoid
losing important messages. Your mailbox has exceeded the storage limit. Log in
through the link below to increase your storage and avoid losing important
messages. Your mailbox has exceeded the storage limit. Log in through the link
below to increase your storage and avoid losing important messages. Your mailbox
has exceeded the storage limit. Log in through the link below to increase your
storage and avoid losing important messages. Your mailbox has exceeded the
storage limit. Log in through the link below to increase your storage and avoid
losing important messages. Your mailbox has exceeded the storage limit. Log in
through the link below to increase your storage and avoid losing important
messages. Your mailbox has exceeded the storage limit. Log in through the link
below to increase your storage and avoid losing important messages. Your mailbox
has exceeded the storage limit. Log in through the link below to increase your
storage and avoid losing important messages. Your mailbox has exceeded the
storage limit. Log in through the link below to increase your storage and avoid
losing important messages. Your mailbox has exceeded the storage limit. Log in
through the link below to increase your storage and avoid losing important
messages. Your mailbox has exceeded the storage limit. Log in through the link
below to increase your storage and avoid losing important messages. Your mailbox
has exceeded the storage limit. Log in through the link below to increase your
storage and avoid losing important messages. Your mailbox has exceeded the
storage limit. Log in through the link below to increase your storage and avoid
losing important messages. Your mailbox has exceeded the storage limit. Log in
through the link below to increase your storage and avoid losing important
messages. Your mailbox has exceeded the storage limit. Log in through the link
below to increase your storage and avoid losing important messages. Your mailbox
has exceeded the storage limit. Log in through the link below to increase your
storage and avoid losing important messages. Your mailbox has exceeded the
storage limit. Log in through the link below to increase your storage and avoid
losing important messages. Your mailbox has exceeded the storage limit. Log in
through the link below to increase your storage and avoid losing important
messages.",https://account-verify.net/confirm/confirm/confirm/login/session?token=db5723b64f70d5f3306852a94b8f36dd1908cf1ba1804c83c6aa674947baa1369b5fe25f265660f0,https:[slash][slash]account-verify[dot]net[slash]confirm[slash]confirm[slash]confirm[slash]login[slash]session?token=db5723b64f70d5f3306852a94b8f36dd1908cf1ba1804c83c6aa674947baa1369b5fe25f265660f0,1
